iri,iri label,entity1,entity1 label,entity2,entity2 label,attribute,attribute  label,synonym,definition
ENVO:9300001,soil water content,ENVO:00001998,soil,CHEBI:46629,water,PATO:0000025,content,Above ground residue moisture,Moisture concentration of the above ground residue
ENVO:9300002,crop residue lignin content,AGRO:00000154,crop residue,CHEBI:6457 ,lignin,PATO:0000025,content,Above ground residue lignin concentration,Lignin concentration of the above ground residue
ENVO:9300003,crop residue nitrogen content,AGRO:00000154,crop residue,CHEBI:17997 ,nitrogen,PATO:0000025,content,Above ground residue nitrogen concentration,Nitrogen concentration of the residue above-ground.
ENVO:9300004,crop residue phosphorus content,AGRO:00000154,crop residue,CHEBI:28659,phosphorus,PATO:0000025,content,Above ground residue phosphorus concentration,Phosphorus concentration of the residue above-ground.
ENVO:9300005,crop residue potassium content,AGRO:00000154,crop residue,CHEBI:29103,potassium,PATO:0000025,content,Above ground residue potassium concentration,Potassium concentration of the residue above-ground.
ENVO:9300006,organic fertilizer water content,AGRO:00000033,organic fertilizer,CHEBI:46629,water,PATO:0000025,content,Organic fertilizer moisture concentration,Moisture concentration in the applied organic fertilizer.
ENVO:9300007,organic fertilizer lignin content,AGRO:00000033,organic fertilizer,CHEBI:6457 ,lignin,PATO:0000025,content,Organic fertilizer lignin concentration,Concentration of lignin in organic fertilizer. Lignin is an amorphous polymer that provides rigidity and together with cellulose forms the woody cell walls of plants.
ENVO:9300008,nitrate content in fertilizer,CHEBI:33287,fertilizer,CHEBI:48107,nitrate,PATO:0000025,content,Nitrate concentration in applied fertilizer,Nitrate concentration in applied fertilizer..
ENVO:9300009,ammonium content in fertilizer,CHEBI:33287,fertilizer,CHEBI:16134,ammonium,PATO:0000025,content,Ammonium concentration in applied fertilizer,Ammonium concentration in applied fertilizer.
ENVO:9300010,calcium content in fertilizer,CHEBI:33287,fertilizer,CHEBI:22984,calcium,PATO:0000025,content,Calcium concentration in applied fertilizer,Concentration of calcium in applied fertilizer.
ENVO:9300011,sulphur content in fertilizer,CHEBI:33287,fertilizer,CHEBI:15138,sulphur,PATO:0000025,content,Sulphur concentration in applied fertilizer,Concentration of sulphur in applied fertilizer.
ENVO:9300012,magnesium content in fertilizer,CHEBI:33287,fertilizer,CHEBI:25107,magnesium,PATO:0000025,content,Magnesium concentration in applied fertilizer,Concentration of magnesium in applied fertilizer.
ENVO:9300013,iron content in fertilizer,CHEBI:33287,fertilizer,CHEBI:18248,iron,PATO:0000025,content,Iron concentration in applied fertilizer,Concentration of iron in applied fertilizer.
ENVO:9300014,zinc content in fertilizer,CHEBI:33287,fertilizer,CHEBI:27363,zinc,PATO:0000025,content,Zinc concentration in applied fertilizer,Concentration of zinc in applied fertilizer.
ENVO:9300015,copper content in fertilizer,CHEBI:33287,fertilizer,CHEBI:28694,copper,PATO:0000025,content,Copper concentration in applied fertilizer,Concentration of copper in applied fertilizer.
ENVO:9300016,boron content in fertilizer,CHEBI:33287,fertilizer,CHEBI:33609,boron,PATO:0000025,content,Boron concentration in applied fertilizer,Concentration of boron in applied fertilizer.
ENVO:9300017,molybdenum content in fertilizer,CHEBI:33287,fertilizer,CHEBI:28685,molybdenum,PATO:0000025,content,Molybdenum concentration in applied fertilizer,Concentration of molybdenum in applied fertilizer.
ENVO:9300018,manganese content in fertilizer,CHEBI:33287,fertilizer,CHEBI:18291,manganese,PATO:0000025,content,Manganese concentration in applied fertilizer,Concentration of manganese in applied fertilizer.
ENVO:9300019,chlorine content in fertilizer,CHEBI:33287,fertilizer,CHEBI:29310,chlorine,PATO:0000025,content,Chlorine concentration in applied fertilizer,Concentration of chlorine in applied fertilizer.
ENVO:9300020,carbon content in organic fertilizer,AGRO:00000033,organic fertilizer,CHEBI:27594 ,carbon,PATO:0000025,content,Organic fertilizer carbon concentration,Carbon concentration in organic fertilizer.
ENVO:9300021,nitrogen content in fertilizer,CHEBI:33287,fertilizer,CHEBI:17997 ,nitrogen,PATO:0000025,content,Nitrogen concentration in applied fertilizer,Nitrogen concentration in applied fertilizer.
ENVO:9300022,phosphorus content in fertilizer,CHEBI:33287,fertilizer,CHEBI:28659,phosphorus,PATO:0000025,content,Phosphorus concentration in applied fertilizer,Phosphorus concentration in applied fertilizer.
ENVO:9300023,potassium content in fertilizer,CHEBI:33287,fertilizer,CHEBI:29103,potassium,PATO:0000025,content,Potassium concentration in applied fertilizer,Potassium concentration in applied fertilizer.
ENVO:9300024,crop residue incorporation percentage,ENVO:00001998,soil,AGRO:00000154,crop residue,PATO:0000025,content,Crop residue incorporation percentage,Percentage of crop residue buried into the soil during an incorporation process
ENVO:9300025,organic fertilizer incorporation percentage,ENVO:00001998,soil,AGRO:00000033,organic fertilizer,PATO:0000025,content,Organic fertilizer incorporation percentage,Percentage of organic fertilizer buried into the soil during an incorporation process
